지역,노선,시·종점,월,일시,시간,승차,하차,전체,주중 평균배차시간,노선운행시간,시간별 포화도
안산시, 62,본오동종점-한라비발디1차,4,평일,15시~16시,894,885,1779,8.0,108,83.0
안산시, 38,부천역차고지-에이스아파트,4,평일,08시~09시,345,382,727,11.5,39,83.0
광명시, 2(광명),스타필드시티부천-안양역,4,평일,15시~16시,746,682,1428,8.0,90,83.0
안산시, 30-2,오이도차고지-목감중심상업지구,4,평일,17시~18시,677,644,1321,12.5,128,83.0
광명시, 11-3,마린월드-KTX광명역1번출구,4,평일,16시~17시,111,81,192,37.5,63,83.0
시흥시, 5604,목감호수품애.중흥S클래스-석수역(중),4,평일,07시~08시,356,262,618,11.0,27,82.0
시흥시, 23,월곶역-본오동차고지,4,평일,12시~13시,515,471,986,12.5,99,81.0
부천시, 23-2,소사공영차고지-라일락마을어린이공원,4,평일,13시~14시,523,519,1042,8.5,69,81.0
안산시, 31-7,한라2차아파트입구-부천역차고지,4,평일,18시~19시,414,384,798,15.0,96,81.0
안산시, 50,안산해솔초등학교-KTX광명역1번출구,4,평일,17시~18시,70,64,134,60.0,65,81.0
광명시, 39,매화초등학교-개봉역,4,평일,19시~20시,188,192,380,20.5,45,80.0
안산시, 55,본오동종점-오이도차고지,4,평일,08시~09시,660,783,1443,9.0,93,80.0
안산시, 62,본오동종점-한라비발디1차,4,평일,14시~15시,857,773,1630,8.0,108,79.0
부천시, 23-2,소사공영차고지-라일락마을어린이공원,4,평일,14시~15시,514,480,994,8.5,69,79.0
안양시, 81,목감호수품애.중흥S클래스-안양역,4,평일,16시~17시,289,243,532,13.0,39,78.0
광명시, 2(광명),스타필드시티부천-안양역,4,평일,09시~10시,704,796,1500,8.0,90,78.0
시흥시, 12,삼미시장-김포공항국내선(9번홈),4,평일,20시~21시,280,274,554,15.0,67,78.0
부천시, 66,부인초교-용못내공원.옥길동종점,4,평일,09시~10시,381,367,748,12.0,74,77.0
시흥시, 530,능곡공영차고지-여의도환승센터(1번승강장),4,평일,18시~19시,305,318,623,20.0,99,77.0
부천시, 23-2,소사공영차고지-라일락마을어린이공원,4,평일,12시~13시,502,490,992,8.5,69,77.0
부천시, 66,부인초교-용못내공원.옥길동종점,4,평일,22시~23시,382,421,803,12.0,74,77.0
부천시, 66,부인초교-용못내공원.옥길동종점,4,평일,21시~22시,381,346,727,12.0,74,77.0
안산시, 34,안산운전면허시험장-월곶동주민센터.월곶포구,4,평일,08시~09시,52,53,105,70.0,54,76.0
안양시, 81,목감호수품애.중흥S클래스-안양역,4,평일,15시~16시,282,274,556,13.0,39,76.0
안산시, 38,부천역차고지-에이스아파트,4,평일,18시~19시,318,311,629,11.5,39,76.0
시흥시, 63,오이도차고지-은계초등학교.사랑스러운교회,4,평일,07시~08시,318,231,549,15.0,78,76.0
안산시, 98,오이도차고지-수변공원휴게소,4,평일,16시~17시,226,177,403,27.5,104,75.0
시흥시, 23,월곶역-본오동차고지,4,평일,06시~07시,474,406,880,12.5,99,75.0
안산시, 61,화진금속공업-부천터미널소풍,4,평일,16시~17시,715,671,1386,10.0,120,74.0
시흥시, 99-2,배곧누리초.중흥S클래스-이마트,4,평일,08시~09시,310,330,640,11.5,25,74.0
광명시, 1(광명),거모동-개봉역,4,평일,09시~10시,752,813,1565,8.5,108,74.0
시흥시, 31-3,능곡공영차고지-부천소방서.부천대학사거리,4,평일,18시~19시,285,248,533,12.5,57,74.0
안산시, 31-7,한라2차아파트입구-부천역차고지,4,평일,08시~09시,379,471,850,15.0,96,74.0
시흥시, 23,월곶역-본오동차고지,4,평일,10시~11시,460,447,907,12.5,99,73.0
광명시, 1(광명),거모동-개봉역,4,평일,06시~07시,743,573,1316,8.5,108,73.0
안산시, 62,본오동종점-한라비발디1차,4,평일,20시~21시,793,839,1632,8.0,108,73.0
시흥시, 16,은계아란트리-인천대공원역,4,평일,07시~08시,176,161,337,20.0,20,73.0
시흥시, 26,시흥우체국.센트럴병원-신천동,4,평일,17시~18시,157,129,286,35.0,96,72.0
시흥시, 3300,능곡공영차고지-강남역.역삼세무서,4,평일,18시~19시,235,149,384,22.5,92,72.0
시흥시, 23,월곶역-본오동차고지,4,평일,20시~21시,454,452,906,12.5,99,72.0
부천시, 23-2,소사공영차고지-라일락마을어린이공원,4,평일,20시~21시,467,488,955,8.5,69,72.0
시흥시, 12,삼미시장-김포공항국내선(9번홈),4,평일,16시~17시,256,249,505,15.0,67,72.0
안산시, 30-2,오이도차고지-목감중심상업지구,4,평일,18시~19시,587,621,1208,12.5,128,72.0
안산시, 62,본오동종점-한라비발디1차,4,평일,06시~07시,776,659,1435,8.0,108,72.0
안산시, 30-2,오이도차고지-목감중심상업지구,4,평일,07시~08시,586,485,1071,12.5,128,72.0
부천시, 66,부인초교-용못내공원.옥길동종점,4,평일,14시~15시,354,342,696,12.0,74,72.0
부천시, 66,부인초교-용못내공원.옥길동종점,4,평일,13시~14시,353,352,705,12.0,74,72.0
안산시, 350,경원여객안양차고지-함상전망대,4,평일,07시~08시,270,220,490,25.0,119,71.0
안산시, 61,화진금속공업-부천터미널소풍,4,평일,15시~16시,681,633,1314,10.0,120,71.0
안산시, 76,본오교회앞-동보아파트후문.군자교회,4,평일,18시~19시,54,60,114,90.0,86,71.0
시흥시, 32,경원여객안양차고지-풍림2단지.소래포구입구,4,평일,19시~20시,196,237,433,25.0,86,71.0
안산시, 38,부천역차고지-에이스아파트,4,평일,17시~18시,297,270,567,11.5,39,71.0
시흥시, 32,경원여객안양차고지-풍림2단지.소래포구입구,4,평일,15시~16시,196,177,373,25.0,86,71.0
광명시, 11,광명돔경륜장.광남문-안양역,4,평일,09시~10시,114,125,239,32.5,65,71.0
시흥시, 5604,목감호수품애.중흥S클래스-석수역(중),4,평일,08시~09시,311,389,700,11.0,27,71.0
시흥시, 3400,한국산업기술대.시흥터미널-강남역.역삼세무서,4,평일,18시~19시,222,154,376,22.5,88,71.0
시흥시, 5602,이마트-구로디지털단지역환승센터(1번승강장),4,평일,19시~20시,457,596,1053,11.5,92,71.0
시흥시, 31,포동차고지-부천소방서.부천대학사거리,4,평일,08시~09시,269,259,528,12.5,44,70.0
안산시, 123,푸르지오6차후문-탄도,4,평일,07시~08시,246,202,448,25.0,110,70.0
시흥시, 63,오이도차고지-은계초등학교.사랑스러운교회,4,평일,19시~20시,291,330,621,15.0,78,70.0
안산시, 38,부천역차고지-에이스아파트,4,평일,16시~17시,293,261,554,11.5,39,70.0
시흥시, 3400,한국산업기술대.시흥터미널-강남역.역삼세무서,4,평일,07시~08시,218,158,376,22.5,88,70.0
시흥시, 26,시흥우체국.센트럴병원-신천동,4,평일,07시~08시,154,110,264,35.0,96,70.0
부천시, 66,부인초교-용못내공원.옥길동종점,4,평일,12시~13시,343,324,667,12.0,74,70.0
광명시, 1(광명),거모동-개봉역,4,평일,14시~15시,709,665,1374,8.5,108,70.0
시흥시, 5602,이마트-구로디지털단지역환승센터(1번승강장),4,평일,09시~10시,446,545,991,11.5,92,70.0
시흥시, 31-3,능곡공영차고지-부천소방서.부천대학사거리,4,평일,17시~18시,269,274,543,12.5,57,70.0
안산시, 62,본오동종점-한라비발디1차,4,평일,12시~13시,743,704,1447,8.0,108,69.0
부천시, 23-2,소사공영차고지-라일락마을어린이공원,4,평일,22시~23시,446,519,965,8.5,69,69.0
시흥시, 63,오이도차고지-은계초등학교.사랑스러운교회,4,평일,16시~17시,289,274,563,15.0,78,69.0
시흥시, 23,월곶역-본오동차고지,4,평일,11시~12시,440,443,883,12.5,99,69.0
안산시, 62,본오동종점-한라비발디1차,4,평일,13시~14시,750,761,1511,8.0,108,69.0
시흥시, 99-2,배곧누리초.중흥S클래스-이마트,4,평일,18시~19시,289,236,525,11.5,25,69.0
안산시, 61,화진금속공업-부천터미널소풍,4,평일,19시~20시,664,837,1501,10.0,120,69.0
시흥시, 21,오이도차고지-태영아파트,4,평일,17시~18시,235,222,457,25.0,107,69.0
시흥시, 3301,능곡공영차고지-사당역(중),4,평일,18시~19시,148,76,224,22.5,52,69.0
광명시, 2(광명),스타필드시티부천-안양역,4,평일,14시~15시,622,592,1214,8.0,90,69.0
광명시, 1(광명),거모동-개봉역,4,평일,20시~21시,703,762,1465,8.5,108,69.0
광명시, 1(광명),거모동-개봉역,4,평일,13시~14시,699,720,1419,8.5,108,69.0
시흥시, 530,능곡공영차고지-여의도환승센터(1번승강장),4,평일,17시~18시,272,229,501,20.0,99,69.0
시흥시, 70,배곧누리초.중흥S클래스-시흥푸르지오6차,4,평일,08시~09시,130,136,266,25.0,38,68.0
안산시, 30-2,오이도차고지-목감중심상업지구,4,평일,16시~17시,553,521,1074,12.5,128,68.0
시흥시, 21,오이도차고지-태영아파트,4,평일,16시~17시,234,200,434,25.0,107,68.0
부천시, 66,부인초교-용못내공원.옥길동종점,4,평일,20시~21시,335,338,673,12.0,74,68.0
안산시, 76,본오교회앞-동보아파트후문.군자교회,4,평일,10시~11시,52,44,96,90.0,86,68.0
안산시, 31-7,한라2차아파트입구-부천역차고지,4,평일,07시~08시,349,276,625,15.0,96,68.0
광명시, 1(광명),거모동-개봉역,4,평일,12시~13시,690,638,1328,8.5,108,68.0
시흥시, 530,능곡공영차고지-여의도환승센터(1번승강장),4,평일,19시~20시,268,269,537,20.0,99,68.0
광명시, 39,매화초등학교-개봉역,4,평일,09시~10시,159,192,351,20.5,45,68.0
안산시, 62,본오동종점-한라비발디1차,4,평일,21시~22시,724,680,1404,8.0,108,67.0
시흥시, 5602,이마트-구로디지털단지역환승센터(1번승강장),4,평일,15시~16시,429,386,815,11.5,92,67.0
안산시, 55,본오동종점-오이도차고지,4,평일,19시~20시,545,620,1165,9.0,93,66.0
안산시, 62,본오동종점-한라비발디1차,4,평일,10시~11시,708,729,1437,8.0,108,66.0
안산시, 55,본오동종점-오이도차고지,4,평일,16시~17시,548,542,1090,9.0,93,66.0
광명시, 11-3,마린월드-KTX광명역1번출구,4,평일,18시~19시,89,100,189,37.5,63,66.0
부천시, 23-2,소사공영차고지-라일락마을어린이공원,4,평일,21시~22시,429,389,818,8.5,69,66.0
안산시, 34,안산운전면허시험장-월곶동주민센터.월곶포구,4,평일,21시~22시,45,43,88,70.0,54,66.0
안산시, 50,안산해솔초등학교-KTX광명역1번출구,4,평일,20시~21시,57,65,122,60.0,65,66.0
시흥시, 97,푸르지오6차후문-능곡어울림센터.능곡중,4,평일,18시~19시,156,159,315,20.0,53,65.0
안산시, 350,경원여객안양차고지-함상전망대,4,평일,18시~19시,247,254,501,25.0,119,65.0
시흥시, 31-3,능곡공영차고지-부천소방서.부천대학사거리,4,평일,08시~09시,251,282,533,12.5,57,65.0
안산시, 31-7,한라2차아파트입구-부천역차고지,4,평일,17시~18시,333,304,637,15.0,96,65.0
안산시, 76,본오교회앞-동보아파트후문.군자교회,4,평일,19시~20시,50,52,102,90.0,86,65.0
시흥시, 3400,한국산업기술대.시흥터미널-강남역.역삼세무서,4,평일,06시~07시,202,26,228,22.5,88,65.0
시흥시, 31-9,포동차고지-부천소방서.부천대학사거리,4,평일,08시~09시,124,157,281,25.0,45,65.0
시흥시, 97,푸르지오6차후문-능곡어울림센터.능곡중,4,평일,07시~08시,157,138,295,20.0,53,65.0
안산시, 5609,그랑시티자이214동앞-여의도환승센터(2번승강장),4,평일,07시~08시,203,96,299,27.5,108,65.0
광명시, 11,광명돔경륜장.광남문-안양역,4,평일,19시~20시,103,116,219,32.5,65,64.0
안산시, 123,푸르지오6차후문-탄도,4,평일,08시~09시,224,242,466,25.0,110,64.0
시흥시, 31-3,능곡공영차고지-부천소방서.부천대학사거리,4,평일,07시~08시,243,200,443,12.5,57,63.0
시흥시, 21,오이도차고지-태영아파트,4,평일,18시~19시,216,216,432,25.0,107,63.0
시흥시, 26,시흥우체국.센트럴병원-신천동,4,평일,08시~09시,139,190,329,35.0,96,63.0
안산시, 20,경원여객-시흥시청후문.종합일자리센터,4,평일,16시~17시,43,45,88,70.0,40,63.0
안산시, 34,안산운전면허시험장-월곶동주민센터.월곶포구,4,평일,17시~18시,43,39,82,70.0,54,63.0
시흥시, 5604,목감호수품애.중흥S클래스-석수역(중),4,평일,19시~20시,273,274,547,11.0,27,63.0
시흥시, 29,정왕역환승센터-MTV웨이브파크서측,4,평일,07시~08시,101,101,202,30.0,42,63.0
광명시, 2(광명),스타필드시티부천-안양역,4,평일,20시~21시,567,568,1135,8.0,90,63.0
시흥시, 63,오이도차고지-은계초등학교.사랑스러운교회,4,평일,09시~10시,263,283,546,15.0,78,63.0
광명시, 2(광명),스타필드시티부천-안양역,4,평일,12시~13시,556,549,1105,8.0,90,62.0
시흥시, 16,은계아란트리-인천대공원역,4,평일,18시~19시,149,132,281,20.0,20,62.0
안산시, 123,푸르지오6차후문-탄도,4,평일,18시~19시,218,229,447,25.0,110,62.0
시흥시, 16,은계아란트리-인천대공원역,4,평일,19시~20시,148,141,289,20.0,20,62.0
시흥시, 63,오이도차고지-은계초등학교.사랑스러운교회,4,평일,15시~16시,259,241,500,15.0,78,62.0
광명시, 2(광명),스타필드시티부천-안양역,4,평일,21시~22시,555,558,1113,8.0,90,62.0
안산시, 50,안산해솔초등학교-KTX광명역1번출구,4,평일,15시~16시,53,49,102,60.0,65,61.0
안산시, 50,안산해솔초등학교-KTX광명역1번출구,4,평일,22시~23시,53,54,107,60.0,65,61.0
광명시, 1(광명),거모동-개봉역,4,평일,11시~12시,618,593,1211,8.5,108,61.0
안산시, 34,안산운전면허시험장-월곶동주민센터.월곶포구,4,평일,10시~11시,42,51,93,70.0,54,61.0
부천시, 23-2,소사공영차고지-라일락마을어린이공원,4,평일,11시~12시,397,366,763,8.5,69,61.0
광명시, 11,광명돔경륜장.광남문-안양역,4,평일,15시~16시,97,101,198,32.5,65,61.0
안산시, 62,본오동종점-한라비발디1차,4,평일,11시~12시,654,628,1282,8.0,108,61.0
안산시, 98,오이도차고지-수변공원휴게소,4,평일,19시~20시,184,232,416,27.5,104,61.0
안산시, 61,화진금속공업-부천터미널소풍,4,평일,09시~10시,583,609,1192,10.0,120,61.0
시흥시, 3201,삼미시장-사당역3번출구,4,평일,07시~08시,130,94,224,22.5,51,61.0
안산시, 31-7,한라2차아파트입구-부천역차고지,4,평일,16시~17시,305,266,571,15.0,96,60.0
안산시, 20,경원여객-시흥시청후문.종합일자리센터,4,평일,17시~18시,41,29,70,70.0,40,60.0
