순번,STATION_NM,GPS_X,GPS_Y,MAP_X,MAP_Y,STATION_ID,MOBILE_NO
17632,목감푸르지오후문,12650.632,3722.591,186174.5764,430814.23849,224001051,25767
17633,운흥초,12651.158,3722.328,186949.51066,430326.57015,224001052,25768
17635,운흥초,12651.103,3722.301,186869.05285,430276.96868,224001053,25769
17661,신천역,12647.286,3726.346,181250.79043,437769.92619,224001054,25390
17665,오토스프라이스.신영공업,12642.964,3719.003,174834.60721,424203.7487,224001055,59002
17667,희람테크,12643.028,3719.05,174928.99637,424290.82425,224001056,59003
18342,백상종합철강.SMG,12642.71,3719.08,174460.21688,424346.62274,224001057,59004
18348,아테코,12642.8,3719.012,174592.77798,424219.94773,224001058,59005
18349,MTV어린이공원입구,12641.791,3719.134,173102.25926,424451.70654,224001059,59006
18350,MTV어린이공원입구,12641.83,3719.098,173160.7476,424384.559,224001060,59007
18351,MTV단독주택입구,12641.987,3719.073,173391.69159,424336.89337,224001061,59008
29901,MTV단독주택입구,12642.037,3719.109,173465.31569,424403.9559,224001062,59009
29902,MTV단독주택(군자천),12642.224,3719.035,173741.00715,424265.918,224001063,59010
30526,MTV단독주택(군자천),12642.261,3719.027,173797.06532,424249.98364,224001064,59011
30527,다인정공,12642.221,3719.301,173738.31383,424757.39152,224001065,59012
30528,다인정공,12642.215,3719.306,173730.33729,424767.83468,224001066,59013
30529,혜성엔지니어링,12642.486,3718.888,174128.06693,423992.70755,224001067,59014
27315,혜성엔지니어링,12642.531,3718.849,174193.53821,423920.73889,224001068,59015
32524,경기산업,12642.802,3718.837,174594.14449,423897.31794,224001069,59016
32526,미주,12642.859,3718.878,174678.36446,423971.78868,224001070,59017
32530,도창동,12649.497,3724.451,184505.0311,434256.39751,224001071,59018
32534,매화1통경로당,12648.426,3725.009,182926.6478,435292.75409,224001072,59019
32540,매화1통경로당,12648.438,3725.008,182944.28612,435291.22404,224001073,59020
32673,배곧센텀베이,12644.125,3722.96,176571.00151,431518.13596,224001074,59021
32685,배곧센텀베이,12644.139,3722.952,176590.62391,431501.99147,224001075,59022
32687,시화가구공단,12643.296,3720.767,175335.12944,427464.02571,224001076,59023
32690,월곶,12644.575,3723.137,177235.49161,431843.05562,224001077,25838
32691,소산서원,12646.466,3726.6,180042.16403,438242.34565,224001078,25839
32692,소산서원,12646.467,3726.615,180043.52971,438269.12141,224001079,25840
32693,월곶풍림아파트3차,12644.56,3723.142,177214.22498,431852.73758,224001080,25843
33236,시흥능곡역4번출구,12648.441,3722.218,182938.14959,430128.80344,224001083,59027
33237,시흥능곡역4번출구,12648.43,3722.233,182922.78391,430156.91874,224001084,59028
33365,장곡어울림센터,12647.328,3722.704,181296.98026,431031.91989,224001085,59029
33367,장곡어울림센터,12647.34,3722.673,181314.65078,430974.10566,224001086,59030
33369,장현4단지,12648.145,3722.265,182502.32544,430217.22048,224001087,59031
33372,장현4단지,12648.182,3722.272,182555.73455,430230.67439,224001088,59032
